id,product_id,title,severity,status,root_cause,solution,owner,opened,closed
I-001,P001,Required geometry and measurement metadata remain incomplete,High,Open,PO measurements cover major envelopes but pocket depth radii datums methods repetitions and uncertainty remain incomplete,Confirm the remaining geometry and record a complete sanitized evidence package,PO,2026-07-25,
I-002,P001,Production print profile is not approved,High,Open,The Bambu Lab A1 is identified but material layer support compensation and instance configuration remain provisional,Validate the proposed settings through separately authorized coupons before production use,PO,2026-07-25,
I-003,P001,Character intellectual-property risk,High,Open,Commercial-use rights and an independently designed mascot have not been established,Develop an original mascot without recognizable Pikachu features and complete visual similarity review; keep publication blocked,PO,2026-07-25,
I-004,P001,IP68 claim does not establish charging suitability,High,Open,The simulation dataset includes water resistance without evidence applicable to charging,Obtain manufacturer guidance or PO-confirmed test evidence before making a charging-suitability claim,PO,2026-07-26,
I-005,P001,Supplier claims lack source provenance,Medium,Open,Fields labeled supplier_verified have no cited source version or retrieval date,Attach an authoritative supplier source with version or date before relying on the claims,PO,2026-07-26,
I-006,P001,Simulation measurement list has ambiguous YAML indentation,Medium,Open,The cable exit direction item is outside the apparent measurements_required list,Correct and validate the source dataset without treating the correction as evidence,PO,2026-07-26,
I-007,P001,PO measurements conflict with simulation geometry,High,Investigating,The dry-run used synthetic watch and charger dimensions before PO measurements were available,Use the 2026-07-26 PO measurements for planning and preserve all synthetic values as simulation_only,AI,2026-07-26,
I-008,P001,Fit geometry and clearances lack coupon evidence,High,Open,Pocket proposal channel variants clearances depth and body radii are provisional or unresolved,Prepare Fit-Test Coupon CAD v0.1 only after PO approval of the exact plan acceptance of its limitations and named CAD authorization,PO,2026-07-26,
I-009,P001,Device side feature functions are unconfirmed,Medium,Open,Photographs show openings a pinhole and a cover but do not authoritatively establish their functions,Confirm functions from an authoritative manual or PO test and preserve access meanwhile,PO,2026-07-26,
I-010,P001,Original photographs expose private device identifiers,High,Investigating,Some back-label photographs contain QR serial or IMEI information,Keep unsafe originals out of the repository and provide sanitized back-label and charging-recess views; safe views are indexed in P001 evidence,PO,2026-07-26,
